,from,mid,last,I1,I2,predict,real
11380,800523,1002450,800517,spiking with a needle is certainly something Fiona Bruce had never heard of before,Fiona Bruce doesn't know how much Brian Cox has been following this with these reports that have come out in the papers recently,,Default Rephrase
11381,800536,1002456,800531,nobody is actually looking at the accessibility of the drug,the accessibility of the drug is the main question,,Default Inference
11382,800553,1002464,800548,they do or do not feel the hypodermic,the idea of a hypodermic needle,,Default Rephrase
11383,800565,1002470,800560,folk behave in a certain kind of way after drinks or what have you,nobody is really looking at what the drug and accessibility to it are,,Default Inference
11384,800572,1002474,800565,Brian Fox finds it extraordinary,folk behave in a certain kind of way after drinks or what have you,,Default Conflict
11385,767798,1002478,800572,the idea of what this drug is and the accessibility this drug is and where are they getting the drug from,Brian Fox finds it extraordinary,,Default Rephrase
11386,825677,1002606,825673,"female journalists, female politicians, women's rights activists, female educators will be targeted",they were trying to protect Afghans in Afghanistan only to have those people who we know are going to be targeted,,Default Rephrase
11387,825681,1002609,825677,we know they're under high likelihood of being targeted for reprisals,"female journalists, female politicians, women's rights activists, female educators will be targeted",,Default Rephrase
11388,825692,1002613,825681,what we don't want to do is see women targeted here on the streets of the UK,we know they're under high likelihood of being targeted for reprisals,,Default Conflict
11389,825692,1002617,825699,what we don't want to do is see women targeted here on the streets of the UK,we do have to be careful,,Default Inference
11390,825720,1002626,825716,interpreters are not the only people that fall into that category,Rory Stewart is absolutely right,,Default Inference
11391,825731,1002631,825727,the additional scheme for other Afghans who we know are going to be in a vulnerable position does or does not include Nelufar Hedayat's auntie,we have also now announced an additional scheme for other Afghans who we know are going to be in a vulnerable position,,Default Rephrase
11392,825739,1002636,825731,"the additional scheme for other Afghans who we know are going to be in a vulnerable position does or does not include Nelufar Hedayat's auntie, James, who has taught in a girls' school in Afghanistan during the last Taliban invasion, and rule of the country",the additional scheme for other Afghans who we know are going to be in a vulnerable position does or does not include Nelufar Hedayat's auntie,,Default Rephrase
11393,825746,1002640,825739,quite possibly,"the additional scheme for other Afghans who we know are going to be in a vulnerable position does or does not include Nelufar Hedayat's auntie, James, who has taught in a girls' school in Afghanistan during the last Taliban invasion, and rule of the country",,Default Rephrase
11394,825754,1002644,825739,Nelufar Hedayat's auntie has no hope tonight,"the additional scheme for other Afghans who we know are going to be in a vulnerable position does or does not include Nelufar Hedayat's auntie, James, who has taught in a girls' school in Afghanistan during the last Taliban invasion, and rule of the country",,Default Inference
11395,825766,1002651,825771,Nelufar Hedayat's auntie has said things publicly against the Taliban,Nelufar Hedayat's auntie will be one of the first - as soon as this veneer of acceptability,,Default Inference
11396,825778,1002658,825783,"the Taliban are worried in the next month or six weeks, there will be a NATO attack, some sort of land - there will be troops on the ground",the Taliban are on their best behaviour,,Default Inference
11397,826771,1002668,826766,neither of Lisa Nandy or Mehdi Hasan know what they're saying,"to Lisa Nandy, and Mehdi Hasan, what are you talking about",,Default Inference
11398,826793,1002678,826788,it's a bittersweet thing,Nelufar Hedayat doesn't want to get soppy about Afghanistan because the death falling from the skies falling from an aeroplane are still real,,Default Conflict
11399,826800,1002682,826793,you must hold on to the bitter-sweetness,it's a bittersweet thing,,Default Inference
11400,826807,1002688,826812,"there are pockets of anti-Taliban resistance, whether it is people on the street, people in Panjir Province",those with political power are or are not going to let the Taliban resistance stand alone,,Default Inference
11401,826829,1002696,826824,we did achieve a generation of young women who have had the opportunity to learn,"just because the situation now is tragic, and because we didn't achieve everything that we wanted to achieve, it doesn't mean to say we achieved nothing",,Default Inference
11402,826841,1002702,826836,to protect the gains that means working with countries that have a degree of influence over the Taliban,"we do absolutely need to work to protect those gains, and fragile as they are, and that means working with the countries in the immediate vicinity around Afghanistan",,Default Inference
11403,827104,1002709,827100,the first is about intelligence,there are two things the government should do very quickly,,Default Rephrase
11404,827111,1002712,827104,the government appears to have been relying on intelligence up to now that said that the Taliban were unlikely to advance,the first is about intelligence,,Default Inference
11405,827118,1002716,827111,the government appears to have been relying on intelligence up to now that said that the Afghan government had the resilience to hold out,the government appears to have been relying on intelligence up to now that said that the Taliban were unlikely to advance,,Default Rephrase
11406,827125,1002720,827118,the intelligence we had about the capabilities of both the government and the taliban clearly was completely and utterly wrong,the government appears to have been relying on intelligence up to now that said that the Afghan government had the resilience to hold out,,Default Conflict
11407,827125,1002724,827104,the intelligence we had about the capabilities of both the government and the taliban clearly was completely and utterly wrong,the first is about intelligence,,Default Inference
11408,827141,1002730,827136,we don't have any understanding as far as Lisa Nandy can work out about what is happening on the ground,we need to get a line of sight on what is happening beyond Kabul,,Default Inference
11409,827148,1002735,827136,to get get that line of sight means working with our partners to share intelligence,we need to get a line of sight on what is happening beyond Kabul,,Default Rephrase
11410,827155,1002739,827100,the second thing that the government ought to be doing is they ought to be exerting what limited leverage we've got on the Taliban,there are two things the government should do very quickly,,Default Rephrase
11411,827167,1002747,827162,this is an unpalatable prospect,this is a painful place to be,,Default Rephrase
11412,827172,1002748,827167,this is a difficult scenario we don't want to be in,this is an unpalatable prospect,,Default Rephrase
11413,827192,1002758,827187,we should be freezing the assets,"the Taliban have taken over the Afghan government's assets, some of those may be in UK banks",,Default Inference
11414,827200,1002761,827192,we should be working with partners to impose sanctions,we should be freezing the assets,,Default Rephrase
11415,827207,1002766,827181,unless we start putting leverage on the Taliban in order to put pressure on them not to allow Afghanistan to descend into a haven for terrorists,unless we start going after the financial assets of the Taliban,,Default Inference
11416,827207,1002769,827214,unless we start putting leverage on the Taliban in order to put pressure on them not to allow Afghanistan to descend into a haven for terrorists,we will reap the benefits,,Default Inference
11417,827221,1002773,827214,does Lisa Nandy mean starve them out,we will reap the benefits,,Default Rephrase
11418,827228,1002778,827221,there is a Covid pandemic,does Lisa Nandy mean starve them out,,Default Conflict
11419,827228,1002785,827241,there is a Covid pandemic,xxx is how else will you help them,,Default Inference
11420,827248,1002789,827235,for a regime that has come to power through violent means and displaced the government,nobody is suggesting that you should punish the Afghan people,,Default Rephrase
11421,827264,1002797,827259,xxx is how one can get assistance to the Afghan people,we should be getting assistance directly to the Afghan people,,Default Rephrase
11422,827272,1002800,827264,the United Nations have a position on the ground,xxx is how one can get assistance to the Afghan people,,Default Rephrase
11423,827279,1002805,827272,the UN are there only because the Taliban allow it,the United Nations have a position on the ground,,Default Conflict
11424,829211,1002939,22328,Sir Keir Starmer wasn't outraged,no,,Default Inference
11425,829218,1002944,829211,Sir Keir Starmer didn't say the Policing Bill was appalling,Sir Keir Starmer wasn't outraged,,Default Rephrase
11426,829225,1002948,829218,Sir Keir Starmer's first response was not to say: This cannot stand,Sir Keir Starmer didn't say the Policing Bill was appalling,,Default Rephrase
11427,829232,1002952,829225,All the people going out with Kill the Bill Deborah Frances-White don't think Sir Keir Starmer is with us,Sir Keir Starmer's first response was not to say: This cannot stand,,Default Rephrase
11428,829250,1002960,829245,Sir Keir Starmer seems like a grownup,Sir Keir Starmer seems like a statesperson,,Default Inference
11429,829257,1002963,829250,Sir Keir Starmer brushes his hair before he does speeches,Sir Keir Starmer seems like a grownup,,Default Inference
11430,829268,1002966,829257,Sir Keir Starmer brushing his hair before doing speeches is an appeal for Deborah Frances-White,Sir Keir Starmer brushes his hair before he does speeches,,Default Rephrase
11431,829272,1002972,829268,Sir Keir Starmer brushes his hair and seems like a grown-up opposed to our current Prime Minister who does not,Sir Keir Starmer brushing his hair before doing speeches is an appeal for Deborah Frances-White,,Default Conflict
11432,829280,1002976,829272,wanting a politician to brush their hair and act like a grown-up is setting the bar pretty low,Sir Keir Starmer brushes his hair and seems like a grown-up opposed to our current Prime Minister who does not,,Default Rephrase
11433,829287,1002980,829280,hoping politicians will brush their hair and act like grown-ups is where we are at the bottom of the battle,wanting a politician to brush their hair and act like a grown-up is setting the bar pretty low,,Default Rephrase
11434,829300,1002985,829295,"Sir Keir Starmer, yes, please",if you ask Deborah Frances-White now would she rather have Sir Keir Starmer or Boris Johnson,,Default Rephrase
11435,829307,1002989,829300,Deborah Frances-White would love to see more from Sir Keir Starmer on Black Lives Matter,"Sir Keir Starmer, yes, please",,Default Conflict
11436,829314,1002993,829307,Deborah Frances-White would love to see more from Sir Keir Starmer on really going out and being in opposition,Deborah Frances-White would love to see more from Sir Keir Starmer on Black Lives Matter,,Default Rephrase
11437,829321,1002997,829314,Deborah Frances-White values that Sir Keir Starmer doesn't oppose things that shouldn't be opposed just for the sake of opposing them,Deborah Frances-White would love to see more from Sir Keir Starmer on really going out and being in opposition,,Default Conflict
11438,829338,1003005,829328,it would be unusual for the terms to be close,we don't know what the outcome is going to be in Hartlepool,,Default Inference
11439,829345,1003009,829338,it is quite unusual for governments even to hold their own seats,it would be unusual for the terms to be close,,Default Rephrase
11440,829352,1003013,829345,governments holding their own seats has only happened twice,it is quite unusual for governments even to hold their own seats,,Default Inference
11441,829360,1003018,829352,the government held their own seat in 2014 and that was the first time for 25 years,governments holding their own seats has only happened twice,,Default Rephrase
11442,829372,1003024,829345,it is unusual even to be close in these situations,it is quite unusual for governments even to hold their own seats,,Default Rephrase
11443,830968,1003031,830963,there are 18 million adults in the country that's going to take more weeks,35 million have had their first jab,,Default Conflict
11444,830985,1003039,830980,there are many different reasons why countries have responded differently,xxx is why Robert Jenrick thinks Australia has had 900 deaths,,Default Rephrase
11445,830997,1003045,830992,they have not been good comparisons in the past,now isn't the right time for us to make comparisons,,Default Inference
11446,831004,1003049,830992,the right time is xxx,now isn't the right time for us to make comparisons,,Default Conflict
11447,831011,1003053,831004,once we are through the pandemic is the right time to make comparisons,the right time is xxx,,Default Rephrase
11448,831023,1003058,831018,let's hold an inquiry once we are through this pandemic,if your point is let's hold an inquiry,,Default Rephrase
11449,831030,1003062,831023,"the government is focused on the vaccine programme, recovery post-pandemic, sustaining people's jobs",let's hold an inquiry once we are through this pandemic,,Default Inference
11450,831037,1003066,831030,the government is focused on tackling the backlog in the Health Service and public service,"the government is focused on the vaccine programme, recovery post-pandemic, sustaining people's jobs",,Default Rephrase
11451,831044,1003070,831037,"one thing one week, another thing another week",the government is focused on tackling the backlog in the Health Service and public service,,Default Conflict
11452,831056,1003076,831044,"Robert Jenrick, the reality of the matter is that the government have stopped and started","one thing one week, another thing another week",,Default Rephrase
11453,831063,1003080,831056,the government has broken its promises,"Robert Jenrick, the reality of the matter is that the government have stopped and started",,Default Rephrase
11454,831070,1003084,831063,the government has misled people,the government has broken its promises,,Default Rephrase
11455,831070,1003088,831077,the government has misled people,it has been a catalogue of ineptitude on an industrial scale,,Default Inference
11456,831063,1003088,831077,the government has broken its promises,it has been a catalogue of ineptitude on an industrial scale,,Default Inference
11457,831056,1003088,831077,"Robert Jenrick, the reality of the matter is that the government have stopped and started",it has been a catalogue of ineptitude on an industrial scale,,Default Inference
11458,831077,1003092,831084,it has been a catalogue of ineptitude on an industrial scale,"therefore John Bercow, can well understand why Robert Jenrick is fighting shy of a full public inquiry",,Default Inference
11459,831091,1003095,831084,a full public inquiry there should be,"therefore John Bercow, can well understand why Robert Jenrick is fighting shy of a full public inquiry",,Default Conflict
11460,831098,1003100,831091,a full public inquiry there will be,a full public inquiry there should be,,Default Rephrase
11461,873033,1003251,873029,they have been there since long before the pandemic,they are very real pressures,,Default Inference
11462,873045,1003256,873040,the pandemic making things worse is what Victor Adebowale thought we might agree on,the pandemic has made them worse,,Default Rephrase
11463,873057,1003262,873052,not the dates,if we are to follow the data,,Default Conflict
11464,873052,1003265,873064,if we are to follow the data,the SAGE scenario for where we would be at hospitalisations right now is significantly higher than where we actually are,,Default Inference
11465,873086,1003275,873082,we know things could change,there's really good reason at the moment looking at the data as it is,,Default Conflict
11466,873093,1003279,873082,to think that the link between infection and hospitalisation is not just watered-down,there's really good reason at the moment looking at the data as it is,,Default Rephrase
11467,873100,1003283,873093,there is quite a good break between infection and hospitalization compared to the SAGE scenario,to think that the link between infection and hospitalisation is not just watered-down,,Default Inference
11468,873093,1003288,873064,to think that the link between infection and hospitalisation is not just watered-down,the SAGE scenario for where we would be at hospitalisations right now is significantly higher than where we actually are,,Default Rephrase
11469,873111,1003291,873106,the Prime Minister and his freedom delay wanted to buy himself more time to look at the data,we all keep an open mind on the data changes,,Default Rephrase
11470,873100,1003293,873111,there is quite a good break between infection and hospitalization compared to the SAGE scenario,the Prime Minister and his freedom delay wanted to buy himself more time to look at the data,,Default Inference
11471,873124,1003297,873100,the data is looking really positive and Kate Andrews thinks we should be quite cheerful about that,there is quite a good break between infection and hospitalization compared to the SAGE scenario,,Default Rephrase
11472,873124,1003300,873076,the data is looking really positive and Kate Andrews thinks we should be quite cheerful about that,the idea of the NHS being overwhelmed is deeply frightening,,Default Conflict
11473,873134,1003305,873100,the data is softening the link but it's not broken,there is quite a good break between infection and hospitalization compared to the SAGE scenario,,Default Conflict
11474,873141,1003309,873134,"the data is not that positive is the point Victor Adebowale was trying to make, and that's about the caution",the data is softening the link but it's not broken,,Default Rephrase
11475,873141,1003310,873124,"the data is not that positive is the point Victor Adebowale was trying to make, and that's about the caution",the data is looking really positive and Kate Andrews thinks we should be quite cheerful about that,,Default Conflict
11476,873151,1003316,873071,vaccination alone is not the way out of this,Kate Andrews doesn't want us to talk-down the huge success of the vaccines,,Default Conflict
11477,873163,1003321,873151,vaccination on its own it's not going to get us to safety,vaccination alone is not the way out of this,,Default Rephrase
11478,873175,1003328,873163,we need to put in place something that this Government has failed to do from the start,vaccination on its own it's not going to get us to safety,,Default Inference
11479,873183,1003332,873175,"the basic public health provisions around test, trace, and supported isolation",we need to put in place something that this Government has failed to do from the start,,Default Rephrase
11480,873190,1003335,873175,so that we are not only relying on the vaccination,we need to put in place something that this Government has failed to do from the start,,Default Inference
11481,873057,1003265,873064,not the dates,the SAGE scenario for where we would be at hospitalisations right now is significantly higher than where we actually are,,Default Inference
11482,841675,1003394,841670,there's evidence that banning junk food ads before 9pm will stop us eating what we want,banning junk food ads before 9pm will or will not really stop us eating what we want,,Default Rephrase
11483,841682,1003402,841675,we do need to do a lot more than just ban junk food ads after 9,there's evidence that banning junk food ads before 9pm will stop us eating what we want,,Default Conflict
11484,841682,1003406,841694,we do need to do a lot more than just ban junk food ads after 9,"there's more we could do to educate people about good diets, and to educate children about how to cook",,Default Inference
11485,841682,1003407,841698,we do need to do a lot more than just ban junk food ads after 9,there's more we could do about food poverty,,Default Inference
11486,717195,1003438,717159,"no, Anthony Costello doesn't think we should lift restrictions on 21 June",we should or should not lift restrictions on 21 June,,Default Rephrase
11487,717187,1003443,717195,the Indian variant has evidence of vaccine escape,"no, Anthony Costello doesn't think we should lift restrictions on 21 June",,Default Inference
11488,717179,1003443,717195,evidence came out today that you are 2.7 times more likely to end up in hospital with this variant compared to the Kent or Alpha variant,"no, Anthony Costello doesn't think we should lift restrictions on 21 June",,Default Inference
11489,717171,1003443,717195,we have the Indian variant which is now thought to be 50 to 70 percent more transmissible,"no, Anthony Costello doesn't think we should lift restrictions on 21 June",,Default Inference
11490,717211,1003449,717266,you have had one dose of the vaccine you are only 34 percent protected,that means the real figure is only 40 percent of our population has had two doses,,Default Inference
11491,717262,1003449,717266,"you had two doses, you're only about two-thirds protected",that means the real figure is only 40 percent of our population has had two doses,,Default Inference
11492,717274,1003454,717266,that means there are millions and millions of people who could be infected by this virus,that means the real figure is only 40 percent of our population has had two doses,,Default Rephrase
11493,717282,1003461,717288,many infected by the virus will be younger,"death rates should be much, much lower",,Default Inference
11494,717296,1003464,717288,many people could end up in hospital,"death rates should be much, much lower",,Default Conflict
11495,717296,1003468,717305,many people could end up in hospital,the NHS could be thrown into another surge,,Default Inference
11496,717329,1003476,717322,we must devolve power and resources to local public health teams,we should do xxx,,Default Rephrase
11497,717344,1003481,717329,we haven't given the money and the contact traces that we need,we must devolve power and resources to local public health teams,,Default Inference
11498,717352,1003485,717322,what we have to do is watch the data extremely carefully in the next two to three weeks,we should do xxx,,Default Rephrase
11499,794255,1003684,794251,this is a prime minister who lies systematically,this is a prime minister who lies repeatedly,,Default Rephrase
11500,794263,1003690,794268,"the problem is the judge, jury, and court is all the prime minister",there's no way of holding the prime minister to account,,Default Inference
11501,794292,1003702,794288,Caroline Lucas is sure of how Paul Scully will vote in the Owen Paterson situation,Caroline Lucas is not sure what Paul Scully will think of the situation with Owen Paterson,,Default Conflict
11502,794268,1003711,775752,there's no way of holding the prime minister to account,Tory sleaze is back,,Default Inference
11503,539055,1003809,539063,"at the beginning of (inaudible) there were an awful lot of people across the United Kingdom who, even if they had not voted for Boris Johnson wished him well",Alex Massie thinks those sentiments were reinforced obviously when the Prime Minister fell ill himself,,Default Inference
11504,539071,1003812,539067,because people have seen and understood and it has been based on their own experience and difference between the way they have behaved and the way in this instance Dominic Cummings has behaved.,the events of the last week  have enormously dented public confidence in the UK's Government to handle this crisis,,Default Inference
11505,539075,1003815,539071,people can tell the difference between their own behaviour and that of Dominic Cummings,because people have seen and understood and it has been based on their own experience and difference between the way they have behaved and the way in this instance Dominic Cummings has behaved.,,Default Rephrase
11506,539083,1003818,539087,people have obeyed and followed the Government advice and stayed at home,it is not unreasonable for them to expect people at the highest levels of Government to do likewise,,Default Inference
11507,539079,1003822,539083,"you can sympathise with the predicament in which Dominic Cummings and family find themselves while recognising at the same time many other people, hundreds of thousands, perhaps millions, have faced comparable situations.",people have obeyed and followed the Government advice and stayed at home,,Default Inference
11508,539079,1003824,539075,"you can sympathise with the predicament in which Dominic Cummings and family find themselves while recognising at the same time many other people, hundreds of thousands, perhaps millions, have faced comparable situations.",people can tell the difference between their own behaviour and that of Dominic Cummings,,Default Rephrase
11509,539059,1003826,539067,they recognised it was important the Government had a grip on this crisis and rose to the challenge and the occasion,the events of the last week  have enormously dented public confidence in the UK's Government to handle this crisis,,Default Inference
11510,541937,1003884,1003880,46% of all deaths are in care homes in Scotland,over half the deaths are in care homes,,Default Rephrase
11511,541918,1003886,1003880,at the centre of this pandemic is the care homes in Scotland,over half the deaths are in care homes,,Default Inference
11512,541954,1003894,541971,we are still not testing care home patients or staff,you have to talk about test delivery,,Default Inference
11513,541964,1003894,541971,we can talk about capacity,you have to talk about test delivery,,Default Inference
11514,542008,1003909,542003,"coming into contact with another person, do I or don't I take another 14 days off","being in contact with someone once, do I or do I not self-isolate and take off 14 days",,Default Rephrase
11515,541988,1003911,541954,care homes are getting in touch with into where patients and staff are not being tested,we are still not testing care home patients or staff,,Default Rephrase
11516,542017,1003917,541998,people who are self-employed and other people are not going to be able to manage self-isolating again and again after critical contact,am I or am I not going to have to self-isolate over and over again,,Default Rephrase
11517,542022,1003917,541998,self-isolating again and again is not going to be possible for people,am I or am I not going to have to self-isolate over and over again,,Default Rephrase
11518,812156,1003963,812151,Richard Walker doesn't know what the UK should do,the UK should do xxx to fill the estimated 100 thousand HGV vacancies and avoid empty shelves this Christmas,,Default Rephrase
11519,765501,1003971,765476,"we as a company are about 100 HGV drivers short, as a nation we're about 100 thousand short",we desperately need to recruit new drivers,,Default Inference
11520,812167,1003971,765476,we have a long term structural issue in this country in that we have an ageing population of HGV drivers around the average age of 57,we desperately need to recruit new drivers,,Default Inference
11521,812177,1003975,765476,of course recruiting HGV drivers is the right thing to do,we desperately need to recruit new drivers,,Default Rephrase
11522,812191,1003981,812184,there are or are not other issues that will cause empty shelves as well,the prospect of empty shelves or fewer things on shelves is solely because of HGV drivers,,Default Rephrase
11523,812206,1003985,812191,"no, it's coming at us from all angles at the moment",there are or are not other issues that will cause empty shelves as well,,Default Rephrase
11524,765466,1003999,812238,we have the C02 issue,it's very difficult out there,,Default Inference
11525,812223,1003999,812238,we have HGV,it's very difficult out there,,Default Inference
11526,812230,1003999,812238,we have a shortage of workers in factories and fields and processing plants,it's very difficult out there,,Default Inference
11527,812260,1004001,812250,"we haven't closed a single store, we haven't missed a single delivery","Richard Walker's staff have been nothing short of heroic, as have the HGV drivers in terms of keeping the wheels turning over the last 18 months, throughout the pandemic",,Default Inference
11528,812274,1004005,812260,now we're having to close stores,"we haven't closed a single store, we haven't missed a single delivery",,Default Conflict
11529,812286,1004009,812274,we're missing up to 80 deliveries a day to our stores,now we're having to close stores,,Default Inference
11530,812286,1004013,812294,we're missing up to 80 deliveries a day to our stores,this is a real issue that is now impacting the supply into our stores,,Default Inference
11531,765501,1004015,812156,"we as a company are about 100 HGV drivers short, as a nation we're about 100 thousand short",Richard Walker doesn't know what the UK should do,,Default Inference
11532,552705,1004166,552695,"the Prime Minister recognised that at the start of the 21st century, talking about watermelon smiles and piccaninnies was not helpful",the Prime Minister would be in a better position to do his job,,Default Inference
11533,552730,1004171,552695,"the same for the leader of Plaid Cymru in the recent past, too",the Prime Minister would be in a better position to do his job,,Default Rephrase
11534,552761,1004178,552743,much more importantly we can make changes to our shared future,we can all learn from this,,Default Inference
11535,552819,1004193,552813,we know that it evidently did not drive enough,it evidently did not drive enough,,Default Rephrase
11536,552813,1004195,552808,it evidently did not drive enough,at that time of the terrible appalling murder of Stephen Lawrence it drove many establishment changes,,Default Conflict
11537,552813,1004198,552828,it evidently did not drive enough,we know that we live in a racist society,,Default Inference
11538,552828,1004202,552790,we know that we live in a racist society,"is taking statues down, remove portraits commemorating people who had profited from slavery, or profited from The Empire or is not in a sense counter-productive, in terms of looking at the bigger issue",,Default Rephrase
11539,552695,1004205,552685,the Prime Minister would be in a better position to do his job,the way politicians talk about this matters,,Default Rephrase
11540,552659,1004207,552675,in doing that,it’s understanding our history to help deal with our future,,Default Inference
11541,552651,1004207,552675,it’s not just examining our distant past,it’s understanding our history to help deal with our future,,Default Inference
11542,552667,1004207,552675,it’s not even about trying to re-write our history,it’s understanding our history to help deal with our future,,Default Inference
11543,552753,1004178,552743,"we can all take the opportunity in this extraordinary global movement, to reset, not just our view on our past",we can all learn from this,,Default Inference
11544,552350,1004217,552346,plaid Cymru was leading the major point which is changes to the curriculum,it was also Plaid Cymru who’s been leading on perhaps the major point,,Default Rephrase
11545,552417,1004234,552409,"despite the legislation in place to deal with racial hatred, we still live within a society which acts upon racialism and racism","despite the legislation in place to deal with racial hatred, we still live within a racial society",,Default Rephrase
11546,552409,1004236,552401,"despite the legislation in place to deal with racial hatred, we still live within a racial society",the united kingdom has much legislation in place to deal with racial hatred,,Default Inference
11547,552332,1004238,552357,what Vaughan said is disappointing because Vaughan and Liz Saville-Roberts are trying to fight from the same corner,what Vaughan said is a little bit disappointing,,Default Inference
11548,552337,1004238,552357,Plaid Cymru and Adam Price have called for an enquiry into structural racism in Wales,what Vaughan said is a little bit disappointing,,Default Inference
11549,552346,1004238,552357,it was also Plaid Cymru who’s been leading on perhaps the major point,what Vaughan said is a little bit disappointing,,Default Inference
11550,552341,1004238,552357,"in response to Adam Price's questioning, the first minister of Wales, responded with supporting the concept of a black and minority ethnic museum in Wales",what Vaughan said is a little bit disappointing,,Default Inference
11551,552361,1004245,552357,obviously what Vaughan’s referring to is Adam Price's apology for comparing Wales to a kind of colonial outpost,what Vaughan said is a little bit disappointing,,Default Conflict
11552,552369,1004248,552365,"there’s nothing petty about the personalities of politicians, the personalities of politicians matter",when we’re looking at the real big issues of politics one of the rather petty things that we do in politics in the United Kingdom is bring it down to personalities,,Default Conflict
11553,552385,1004254,552381,statues are the imagery of the past,when Liz Saville Roberts asked the Prime Minister about the statues he replied that Conservatives don’t pull down statues,,Default Inference
11554,552393,1004254,552381,Liz SavilleRoberts knows that the Lord Chancellor will agree that statues are the imagery of the past,when Liz Saville Roberts asked the Prime Minister about the statues he replied that Conservatives don’t pull down statues,,Default Inference
11555,552377,1004256,552381,what we have within the United Kingdom is the way of presenting history very much through the eyes of the Conservatives,when Liz Saville Roberts asked the Prime Minister about the statues he replied that Conservatives don’t pull down statues,,Default Inference
11556,552373,1004256,552381,Liz Saville Roberts raised the issue concerning the statues with the Prime Minister yesterday,when Liz Saville Roberts asked the Prime Minister about the statues he replied that Conservatives don’t pull down statues,,Default Inference
11557,552401,1004261,552393,the united kingdom has much legislation in place to deal with racial hatred,Liz SavilleRoberts knows that the Lord Chancellor will agree that statues are the imagery of the past,,Default Inference
11558,554291,1004414,554297,"in the first week, two thirds cooperating with the trace and contact system, that is encouraging","Robert Buckland very much hopes and expects, that as we all get more used to it, then the new normal will start to apply, and people will see the advantage in sharing that information",,Default Inference
11559,554297,1004419,554304,"Robert Buckland very much hopes and expects, that as we all get more used to it, then the new normal will start to apply, and people will see the advantage in sharing that information",sharing the information in the tracing app is doing the right thing,,Default Inference
11560,554311,1004423,554304,"cumulatively, as we’ve found with lockdown, we can use this system to continue the fight against the virus",sharing the information in the tracing app is doing the right thing,,Default Inference
11561,554323,1004428,554318,confidence in the government is a very important point,"does or doesn't Robert Buckland reckon, does or doesn't he think there’s a correlation between the confidence in how the government’s dealt with this pandemic and connecting that with the third that doesn’t give any of their details with the Track and Trace",,Default Inference
11562,554329,1004432,554323,Robert Buckland talked about confidence a little earlier on,confidence in the government is a very important point,,Default Rephrase
11563,554346,1004440,554342,are or aren't people not giving any of their details with the Track and Trace because of loss of trust,"we’ve got to ask ourselves the question, are people doing or not doing it because they don’t want to cooperate, that they value, perhaps their own privacy or…",,Default Conflict
11564,554353,1004444,554346,Ross is asking if loss of trust is the reason for people not giving any of their details with the Track and Trace,are or aren't people not giving any of their details with the Track and Trace because of loss of trust,,Default Inference
11565,515542,1005489,515548,we should explain more about wearing face masks,wearing face masks is a good thing and people are going to have to expect to see more of mask wearing,,Default Inference
11566,515575,1005497,515585,Andy Burnham has been saying to the fashion industry,Wearing nownd for using our fashion as well,,Default Inference
11567,515585,1005502,515610,Wearing nownd for using our fashion as well,mir face mask that sells around the world,,Default Inference
11568,515585,1005503,515600,Wearing nownd for using our fashion as well,let's design face masks,,Default Inference
11569,515644,1005509,515629,make something positive out of wearing face masks,let's make something of wearing face masks,,Default Rephrase
11570,515681,1005517,515691,certainly on public transport we are saying using face masks is the right thing to do,just so there's confidence amongst all of the travelling public and no disagreements between some people wearing masks and some people not,,Default Inference
11571,835368,1005650,835355,we shouldn't beat ourselves up,we should stop beating ourselves up,,Default Rephrase
11572,835380,1005656,835375,we're in the top five contributers and we bring it down to 0.5%,we have been one of the biggest contributors,,Default Rephrase
11573,835402,1005665,835355,AudienceMember 20210805QT18 doesn't think we should beat ourselves up,we should stop beating ourselves up,,Default Rephrase
11574,835375,1005671,835368,we have been one of the biggest contributors,we shouldn't beat ourselves up,,Default Inference
11575,835392,1005673,835387,"developed countries that include USA, Japan, France, Greece, and many, many others who don't come near 0.5%","the majority of developed countries, something like 40 countries, are nowhere near 0.5%",,Default Rephrase
11576,835413,1005675,835402,add the numbers together and find that we're still a very big contributor to the rest of the world with overseas aid either in monetary terms or in more practical terms,AudienceMember 20210805QT18 doesn't think we should beat ourselves up,,Default Inference
11577,836615,1005683,836606,Gillian Keegan thinks it is symbolism more than action,Gillian Keegan thinks it is or is not symbolism more than action,,Default Rephrase
11578,836653,1005693,1005688,most of them would like to end racism,the most important thing is the action and we have seen it creating division and the people who are booing,,Default Inference
11579,836662,1005697,836653,they disagree - there is different things that people are interpreting,most of them would like to end racism,,Default Inference
11580,836686,1005705,836680,Conservative MPS are against Black Lives Matter because Black Lives Matter stand for things they don't stand for,conservatives are against Black Lives Matter because xxx,,Default Rephrase
11581,836702,1005710,836696,it is about the Black Lives Matter,habitual tokenism is a comment from a Conservative MP,,Default Conflict
11582,836712,1005717,836719,some people will think that's supporting Black Lives Matter,Gillian Keegan is sure Black Lives Matter will think it is supporting them,,Default Inference
11583,836737,1005725,836744,the letter was wonderfully written,applaud his leadership on that point,,Default Inference
11584,604002,1006515,603966,we know that there are logistical issues with this vaccine in terms of the temperature it needs to be,"the scientists have been clear in the press conference with the prime minister, rolling out vaccination programs is going to be very challenging logistically",,Default Rephrase
11585,604046,1006518,604091,these are people’s lives on the line,this isn’t the time for vaccine nationalism,,Default Inference
